date,search_term,label
10/1/2024,LeetCode recursion problems,0
10/1/2024,how to bake brownies,0
10/1/2024,best romcom movies 2024,0
10/2/2024,why would a friend become distant,1
10/2/2024,python list comprehensions,0
10/3/2024,10-minute yoga routine,0
10/3/2024,where is the nearest cafe ,0
10/4/2024,famous quotes about friendship,0
10/4/2024,what are types of friend betrayal ,1
10/5/2024,how to tie a unique ribon,0
10/5/2024,understanding data breaches,1
10/6/2024,top 10 sci-fi movies,0
10/7/2024,how to improve concentration,0
10/7/2024,meditation techniques for anxiety,0
10/8/2024,quick pancake recipes,0
10/8/2024,relieving stress for a friend,1
10/9/2024,cheapest flights to NY,0
10/10/2024,detecting a virus in computer,0
10/10/2024,trust issues in friendships,1
10/11/2024,hiking trails near me,0
10/11/2024,signs of not being safe ,1
10/12/2024,top programming languages 2024,0
10/13/2024,how to confront a friend,1
10/13/2024,handling confrontation calmly,1
10/14/2024,top list of songs 2024,0
10/14/2024,math problems solver for free,0
10/15/2024,sudoku solver online,0
10/15/2024,best places to visit in winter,0
10/16/2024,local self-defense classes,1
10/16/2024,how to handle difficult conversations with a close friend,1
10/17/2024,how to arrange a busy schedule ,0
10/17/2024,most popular movies this year,0
10/18/2024,how to know my friend is in trouble,1
10/18/2024,legal consequences of a university level crime,1
10/19/2024,cats for adoption,0
10/20/2024,how to make flower origami,0
10/20/2024,motivational qoutes for studying,0
10/21/2024,best late-night snacks,0
10/22/2024,ways of comforting a friend,1
10/22/2024,how to know if someone is tricking me ,1
10/23/2024,best book tropes,0
10/23/2024,how to identify toxic friendships,1
10/24/2024,symptoms of panic attack,1
10/25/2024,theme park opening times,0
10/26/2024,reasons of stealing data from university sites,1
10/26/2024,report writing steps,0
10/27/2024,creative writing prompts,0
10/27/2024,yoga for beginners,0
10/28/2024,how to make sushi,0
10/29/2024,how to know if my friend is lying,1
10/29/2024,how to save money,0
10/30/2024,signs of anxiety,1
10/31/2024,how to bake a cake,0
11/1/2024,book recommendations,0
11/1/2024,scandal of university data breach,1
11/2/2024,therapeutic approaches for friends with anxiety,1
11/2/2024,top 10 books of 2024,0
11/3/2024,music for studying,0
11/3/2024,how to create a resume,0
11/4/2024,how to manage time effectively,0
11/4/2024,basic anatomy lessons,0
11/5/2024,basic self-defense techniques,1
11/5/2024,how to improve sleep quality,0
11/6/2024,consequences of causing a sensitive data breach,1
11/6/2024,healthy dinner recipes,0
11/7/2024,machine learning explanation videos,0
11/8/2024,portrait painting ideas,0
11/9/2024,signs of friends lying,1
11/10/2024,how to stay motivated,0
11/11/2024,what to do when a friend is acting differently ,1
11/12/2024,fun activities for the weekend,0
11/13/2024,how to create a workout plan,0
11/14/2024,how to deal with peer pressure,1
11/15/2024,easy dinner recepies with simple ingredients ,0
11/16/2024,tips for public speaking,0
11/17/2024,why would a friend tell lies,1
11/18/2024,what are the gradual steps of committing a crime,1
11/19/2024,how to write a cover letter,0
11/20/2024,tips for stress management,0
11/21/2024,how to identify scams,1
11/22/2024,how to find a job quickly,0
11/23/2024,how to improve communication skills,0
11/24/2024,tips for re-organizing room,0
11/25/2024,how to manage finances,0
11/26/2024,reasons a friend would act unlike them selves,1
11/27/2024,how to network effectively,0
11/28/2024,how to set smart life goals,0
11/28/2024,things that would make a friend constantly nervous ,1
11/29/2024,how to make time for yourself,0
11/29/2024,why would someone steal university data ,1
11/30/2024,bohemian room aesthetics,0
11/30/2024,is stealing data a crime ,1
11/30/2024,how to know if my friend has an unstable mentality ,1
